Nome,Cargo,Tipo Cargo,CPF,Cidade,Sobrenome,Cod_IBGE
Andreoleto Neves,Prefeito,Eleito,649.950.867-57,Manaus, Neves,13
Andreoleto Teves,Prefeito,Eleito,262.337.558-59,Salvador, Teves,29
Andreoleto Tibiriçá,Prefeito,Eleito,260.063.117-80,Fortaleza, Tibiriçá,23
Andreoleto Trindade,Prefeito,Eleito,693.521.994-99,Brasília, Trindade,53
André Bencatel,Prefeito,Eleito,817.378.426-45,Vitória, Bencatel,32
André Calheiros,Prefeito,Eleito,963.423.708-85,Goiânia, Calheiros,52
André Cuaresma,Prefeito,Eleito,092.268.004-30,São Luís, Cuaresma,21
André Dorneles,Prefeito,Eleito,608.206.428-35,Cuiabá, Dorneles,51
André Flores,Prefeito,Eleito,917.316.918-82,Campo Grande, Flores,50
André Jaguaribe,Prefeito,Eleito,568.987.950-90,Belo Horizonte, Jaguaribe,31
André Leão,Prefeito,Eleito,269.541.611-36,Belém, Leão,15
André Paes,Prefeito,Eleito,135.214.290-24,João Pessoa, Paes,25
André Rebocho,Prefeito,Eleito,180.767.219-03,Curitiba, Rebocho,41
André Resende,Prefeito,Eleito,212.558.750-54,Recife, Resende,26
André Sabrosa,Prefeito,Eleito,646.155.114-00,Teresina, Sabrosa,22
André Villar,Prefeito,Eleito,663.018.077-15,Rio de Janeiro, Villar,33
Angelina Borba,Prefeito,Eleito,211.422.794-48,Natal, Borba,24
Angelina Cascaes,Prefeito,Eleito,747.141.360-38,Porto Alegre, Cascaes,43
Angelina Gómez,Prefeito,Eleito,079.938.699-51,Porto Velho, Gómez,11
Angelina Hierro,Prefeito,Eleito,868.362.969-45,Boa Vista, Hierro,14
Angelina Morgado,Prefeito,Eleito,829.764.631-90,Florianópolis, Morgado,42
Angelina Mourão,Prefeito,Eleito,367.352.873-47,São Paulo, Mourão,35
Angelina Pederneiras,Prefeito,Eleito,354.422.248-55,Aracaju, Pederneiras,28
Angelina Silva,Prefeito,Eleito,810.608.673-97,Palmas, Silva,41
Angelina Siqueira,Prefeito,Eleito,649.152.557-00,Rio Branco, Siqueira,12
Angelina Sobreira,Prefeito,Eleito,550.938.250-34,Maceió, Sobreira,27
Angelina Valido,Prefeito,Eleito,012.926.756-24,Macapá, Valido,16
Angelina Xavier,Prefeito,Eleito,369.117.677-17,Manaus, Xavier,13
Angelina Ximenes,Prefeito,Eleito,916.812.453-88,Salvador, Ximenes,29
Angelino Afonso,Prefeito,Eleito,062.461.235-03,Fortaleza, Afonso,23
Angelino Botelho,Prefeito,Eleito,786.915.047-90,Brasília, Botelho,53
Angelino Gonsalves,Prefeito,Eleito,609.441.687-28,Vitória, Gonsalves,32
Angelino Grilo,Prefeito,Eleito,888.952.454-58,Goiânia, Grilo,52
Angelino Jordán,Prefeito,Eleito,171.415.963-99,São Luís, Jordán,21
Angelino Malheiro,Prefeito,Eleito,916.006.351-30,Cuiabá, Malheiro,51
Angelino Mexia,Prefeito,Eleito,662.340.300-09,Campo Grande, Mexia,50
Angelino Patrício,Prefeito,Eleito,296.054.562-14,Belo Horizonte, Patrício,31
Angelino Quintella,Prefeito,Eleito,269.415.896-04,Belém, Quintella,15
Angelino Quirós,Prefeito,Eleito,407.288.524-03,João Pessoa, Quirós,25
Angelino VilasBoas,Prefeito,Eleito,305.226.092-87,Curitiba, VilasBoas,41
Angélica Belmonte,Prefeito,Eleito,867.575.268-75,Recife, Belmonte,26
Angélica Cotrim,Prefeito,Eleito,231.617.946-05,Teresina, Cotrim,22
Angélica Durán,Prefeito,Eleito,984.077.482-42,Rio de Janeiro, Durán,33
Angélica Ferrão,Prefeito,Eleito,223.227.217-60,Natal, Ferrão,24
Angélica Granjeiro,Prefeito,Eleito,574.254.677-71,Porto Alegre, Granjeiro,43
Angélica Jaguariúna,Prefeito,Eleito,202.068.324-51,Porto Velho, Jaguariúna,11
Angélica Larangeira,Prefeito,Eleito,079.948.391-50,Boa Vista, Larangeira,14
Angélica Malheiro,Prefeito,Eleito,974.795.341-24,Florianópolis, Malheiro,42
Angélica Mansilha,Prefeito,Eleito,378.162.824-86,São Paulo, Mansilha,35
Angélica Peláez,Prefeito,Eleito,683.170.031-40,Aracaju, Peláez,28
Angélica Rios,Prefeito,Eleito,185.497.732-63,Palmas, Rios,41
Angélica Sousa do Prado,Prefeito,Eleito,821.339.673-11,Rio Branco, Prado,12
Angélico Anlicoara,Prefeito,Eleito,871.053.337-07,Maceió, Anlicoara,27
Angélico Damasceno,Prefeito,Eleito,149.791.159-18,Macapá, Damasceno,16
Angélico Farias,Prefeito,Eleito,401.108.927-39,Manaus, Farias,13
Angélico Fragoso,Prefeito,Eleito,649.894.752-75,Salvador, Fragoso,29
Angélico França,Prefeito,Eleito,419.990.186-80,Fortaleza, França,23
Angélico Godoi,Prefeito,Eleito,911.878.495-02,Brasília, Godoi,53
Angélico Louzada,Prefeito,Eleito,753.950.000-03,Vitória, Louzada,32
Angélico Magallanes,Prefeito,Eleito,353.859.971-88,Goiânia, Magallanes,52
Angélico Quintana,Prefeito,Eleito,571.412.401-44,São Luís, Quintana,21
Angélico Ramallo,Prefeito,Eleito,726.304.982-12,Cuiabá, Ramallo,51
Angélico Torcuato,Prefeito,Eleito,363.264.250-85,Campo Grande, Torcuato,50
Angélico Valle,Prefeito,Eleito,967.197.442-24,Belo Horizonte, Valle,31
Anhangüera Batista,Prefeito,Eleito,454.006.435-58,Belém, Batista,15
Anhangüera Collaço,Prefeito,Eleito,491.679.414-19,João Pessoa, Collaço,25
Anhangüera Guimarães,Prefeito,Eleito,578.348.915-88,Curitiba, Guimarães,41
Anhangüera Silveira dos Açores,Prefeito,Eleito,670.464.729-55,Recife, Açores,26
Aniana Anjos,Prefeito,Eleito,808.134.935-95,Teresina, Anjos,22
Aniana Araripe,Prefeito,Eleito,008.030.949-65,Rio de Janeiro, Araripe,33
Aniana Caldas,Prefeito,Eleito,961.030.239-47,Natal, Caldas,24
Aniana Carreiro,Prefeito,Eleito,323.006.170-56,Porto Alegre, Carreiro,43
Aniana Gago,Prefeito,Eleito,230.920.368-83,Porto Velho, Gago,11
Aniana Galante,Prefeito,Eleito,079.365.303-71,Boa Vista, Galante,14
Aniana Guerrero,Prefeito,Eleito,964.359.598-62,Florianópolis, Guerrero,42
Aniana Ipiranga,Prefeito,Eleito,968.384.010-88,São Paulo, Ipiranga,35
Aniana Lage,Prefeito,Eleito,673.733.774-08,Aracaju, Lage,28
Aniana Lameiras,Prefeito,Eleito,333.968.959-83,Palmas, Lameiras,41
Aniana Meneses,Prefeito,Eleito,555.210.602-43,Rio Branco, Meneses,12
Aniana Milheiro,Prefeito,Eleito,887.508.246-43,Maceió, Milheiro,27
Aniana Penteado,Prefeito,Eleito,674.146.590-11,Macapá, Penteado,16
Aniana Silva,Prefeito,Eleito,918.433.014-74,Manaus, Silva,13
Aniano Albuquerque,Prefeito,Eleito,584.779.569-60,Salvador, Albuquerque,29
Aniano Athayde,Prefeito,Eleito,895.248.809-11,Fortaleza, Athayde,23
Aniano Betancour,Prefeito,Eleito,549.284.923-90,Brasília, Betancour,53
Aniano Gutiérrez,Prefeito,Eleito,419.626.464-67,Vitória, Gutiérrez,32
Aniano Miera,Prefeito,Eleito,975.957.428-46,Goiânia, Miera,52
Aniano Milheirão,Prefeito,Eleito,071.334.511-07,São Luís, Milheirão,21
Aniano Parreira,Prefeito,Eleito,880.925.238-19,Cuiabá, Parreira,51
Aniano Quirós,Prefeito,Eleito,772.473.864-52,Campo Grande, Quirós,50
Aniano Rebocho,Prefeito,Eleito,508.657.737-34,Belo Horizonte, Rebocho,31
Anind Carvalheira,Prefeito,Eleito,645.732.625-04,Belém, Carvalheira,15
Anind Fróis,Prefeito,Eleito,541.981.020-40,João Pessoa, Fróis,25
Anind Gomes,Prefeito,Eleito,672.824.518-93,Curitiba, Gomes,41
Anind Hollanda,Prefeito,Eleito,915.248.545-57,Recife, Hollanda,26
Anind Inácio,Prefeito,Eleito,780.033.631-01,Teresina, Inácio,22
Anind Poças,Prefeito,Eleito,938.858.593-35,Rio de Janeiro, Poças,33
Anind Rebouças,Prefeito,Eleito,650.603.036-40,Natal, Rebouças,24
Anind Roriz,Prefeito,Eleito,596.327.482-63,Porto Alegre, Roriz,43
Anind Santana,Prefeito,Eleito,263.206.966-13,Porto Velho, Santana,11
Anita Bello,Prefeito,Eleito,103.632.174-60,Boa Vista, Bello,14
Anita Beserra,Prefeito,Eleito,648.455.594-04,Florianópolis, Beserra,42
Anita Bethancout,Prefeito,Eleito,993.238.642-18,São Paulo, Bethancout,35
Anita Canadas,Prefeito,Eleito,222.977.262-79,Aracaju, Canadas,28
Anita Candal,Prefeito,Eleito,718.838.872-59,Palmas, Candal,41
Anita Costa,Prefeito,Eleito,876.023.495-47,Rio Branco, Costa,12
Anita Câmara,Prefeito,Eleito,501.785.520-38,Maceió, Câmara,27
Anita Guedelha,Prefeito,Eleito,977.952.677-34,Macapá, Guedelha,16
Anita Paião,Prefeito,Eleito,488.567.979-68,Manaus, Paião,13
Anita Rego,Prefeito,Eleito,317.183.087-60,Salvador, Rego,29
Anita Varanda,Prefeito,Eleito,567.318.282-11,Fortaleza, Varanda,23
Anna Asunción,Prefeito,Eleito,867.711.347-92,Brasília, Asunción,53
Anna Cambezes,Prefeito,Eleito,480.459.432-97,Vitória, Cambezes,32
Anna Cardoso,Prefeito,Eleito,853.781.379-69,Goiânia, Cardoso,52
Anna Carvalheiro,Prefeito,Eleito,994.696.980-70,São Luís, Carvalheiro,21
Anna Chamusca,Prefeito,Eleito,787.231.970-56,Cuiabá, Chamusca,51
Anna Cidreira,Prefeito,Eleito,071.050.237-08,Campo Grande, Cidreira,50
Anna Eiró,Prefeito,Eleito,312.912.404-70,Belo Horizonte, Eiró,31
Anna Losada,Prefeito,Eleito,792.113.901-92,Belém, Losada,15
Anna Onofre,Prefeito,Eleito,299.207.598-13,João Pessoa, Onofre,25
Anna Puentes,Juiz,Concursado,820.911.050-07,Curitiba, Puentes,41
Anna Ramires,Juiz,Concursado,867.643.030-61,Recife, Ramires,26
Anna Reis,Juiz,Concursado,725.442.431-39,Teresina, Reis,22
Anna Salomón,Juiz,Concursado,887.106.571-93,Rio de Janeiro, Salomón,33
Anna Villela,Juiz,Concursado,310.408.416-51,Natal, Villela,24
Anselmo Alvim,Juiz,Concursado,184.439.235-04,Porto Alegre, Alvim,43
Anselmo Betancour,Juiz,Concursado,798.744.570-31,Porto Velho, Betancour,11
Anselmo Brites,Juiz,Concursado,389.730.320-54,Boa Vista, Brites,14
Anselmo Brites,Juiz,Concursado,433.089.758-07,Florianópolis, Brites,42
Anselmo Canhão,Juiz,Concursado,177.156.216-17,São Paulo, Canhão,35
Anselmo Carromeu,Juiz,Concursado,424.052.927-18,Aracaju, Carromeu,28
Anselmo Collares,Juiz,Concursado,594.558.864-48,Palmas, Collares,41
Anselmo Doutel,Juiz,Concursado,932.269.230-80,Rio Branco, Doutel,12
Anselmo Granjeia,Juiz,Concursado,308.771.660-05,Maceió, Granjeia,27
Anselmo Lozada,Juiz,Concursado,217.742.490-90,Macapá, Lozada,16
Anselmo Medina,Juiz,Concursado,523.552.567-13,Manaus, Medina,13
Anselmo Moniz,Juiz,Concursado,646.560.640-25,Salvador, Moniz,29
Anselmo Pereira,Juiz,Concursado,468.568.411-75,Fortaleza, Pereira,23
Anselmo Pessanha,Juiz,Concursado,616.587.981-04,Brasília, Pessanha,53
Anselmo Pinho,Juiz,Concursado,150.942.179-33,Vitória, Pinho,32
Anselmo Rebimbas,Juiz,Concursado,980.554.986-01,Goiânia, Rebimbas,52
Anselmo Rivas,Juiz,Concursado,471.560.607-08,São Luís, Rivas,21
Anselmo Robalo,Juiz,Concursado,733.729.199-04,Cuiabá, Robalo,51
Anselmo Valim,Juiz,Concursado,746.757.792-39,Campo Grande, Valim,50
Anselmo Viveiros,Juiz,Concursado,219.356.650-06,Belo Horizonte, Viveiros,31
Antero Ayres,Juiz,Concursado,407.681.189-56,Belém, Ayres,15
Antero Bello,Juiz,Concursado,174.225.655-43,João Pessoa, Bello,25
Antero Covelhã,Juiz,Concursado,362.688.790-15,Curitiba, Covelhã,41
Antero Godoy,Juiz,Concursado,099.716.858-76,Recife, Godoy,26
Antero Lage,Juiz,Concursado,596.066.810-68,Teresina, Lage,22
Antero Raminhos,Juiz,Concursado,691.054.697-08,Rio de Janeiro, Raminhos,33
Antero Rico,Juiz,Concursado,667.253.941-75,Natal, Rico,24
Antero Rocha,Juiz,Concursado,355.158.487-72,Porto Alegre, Rocha,43
Antero Sarmiento,Juiz,Concursado,165.251.180-69,Porto Velho, Sarmiento,11
Antero Torrado,Juiz,Concursado,025.868.825-47,Boa Vista, Torrado,14
Antonieta Abranches,Juiz,Concursado,951.365.943-73,Florianópolis, Abranches,42
Antonieta Aquino,Juiz,Concursado,377.739.636-22,São Paulo, Aquino,35
Antonieta Bethancout,Juiz,Concursado,931.320.999-37,Aracaju, Bethancout,28
Antonieta Bulhão,Juiz,Concursado,712.050.441-08,Palmas, Bulhão,41
Antonieta Carrasqueira,Juiz,Concursado,707.423.485-04,Rio Branco, Carrasqueira,12
Antonieta Castilhos,Juiz,Concursado,452.663.662-22,Maceió, Castilhos,27
Antonieta Lousada,Juiz,Concursado,744.707.832-85,Macapá, Lousada,16
Antonieta Matoso,Juiz,Concursado,264.499.579-56,Manaus, Matoso,13
Antonieta Monjardim,Juiz,Concursado,917.142.906-97,Salvador, Monjardim,29
Antonieta Pedrozo,Juiz,Concursado,046.514.665-16,Fortaleza, Pedrozo,23
Antonieta Távora,Juiz,Concursado,899.736.649-14,Brasília, Távora,53
Antão Branco,Juiz,Concursado,007.923.549-23,Vitória, Branco,32
Antão Caldas,Juiz,Concursado,567.406.092-41,Goiânia, Caldas,52
Antão Camarinho,Juiz,Concursado,210.419.817-83,São Luís, Camarinho,21
Antão Castaño,Juiz,Concursado,194.797.011-97,Cuiabá, Castaño,51
Antão Coelho,Juiz,Concursado,974.193.301-07,Campo Grande, Coelho,50
Antão Gómez,Juiz,Concursado,053.688.679-21,Belo Horizonte, Gómez,31
Antão Jucá,Juiz,Concursado,790.776.916-77,Belém, Jucá,15
Antão Miguel,Juiz,Concursado,893.016.217-70,João Pessoa, Miguel,25
Antão Neto,Juiz,Concursado,528.087.218-03,Curitiba, Neto,41
Antão Peláez,Juiz,Concursado,233.161.010-04,Recife, Peláez,26
Antão Queiroz,Juiz,Concursado,573.988.850-67,Teresina, Queiroz,22
Antão Tristão,Juiz,Concursado,599.988.441-18,Rio de Janeiro, Tristão,33
Antão Vilar,Juiz,Concursado,123.205.195-05,Natal, Vilar,24
Antão Vilarim,Juiz,Concursado,817.342.225-73,Porto Alegre, Vilarim,43
Antónia Baldaia,Juiz,Concursado,145.312.871-93,Porto Velho, Baldaia,11
Antónia Castelo Branco,Juiz,Concursado,837.804.759-87,Boa Vista, Branco,14
Antónia Curvelo,Juiz,Concursado,725.303.632-85,Florianópolis, Curvelo,42
Antónia Durão,Juiz,Concursado,001.767.585-50,São Paulo, Durão,35
Antónia Esparteiro,Juiz,Concursado,989.565.434-02,Aracaju, Esparteiro,28
Antónia Fogassa,Juiz,Concursado,636.410.643-92,Palmas, Fogassa,41
Antónia Granja,Juiz,Concursado,605.357.112-12,Rio Branco, Granja,12
Antónia Guimaraes,Juiz,Concursado,720.410.526-51,Maceió, Guimaraes,27
Antónia Liberato,Juiz,Concursado,904.218.779-44,Macapá, Liberato,16
Antónia Moraes,Juiz,Concursado,878.744.087-30,Manaus, Moraes,13
Antónia Pessanha,Juiz,Concursado,088.390.024-64,Salvador, Pessanha,29
Antónia Raminhos,Juiz,Concursado,514.921.635-62,Fortaleza, Raminhos,23
Antónia Ramos,Juiz,Concursado,755.094.784-89,Brasília, Ramos,53
Antónia Semedo,Juiz,Concursado,242.204.172-81,Vitória, Semedo,32
Antónia Teles,Juiz,Concursado,679.251.996-01,Goiânia, Teles,52
António Azambuja,Juiz,Concursado,337.544.347-13,São Luís, Azambuja,21
António Carrilho,Juiz,Concursado,045.423.240-36,Cuiabá, Carrilho,51
António Gois,Juiz,Concursado,027.099.017-81,Campo Grande, Gois,50
António Lamego,Juiz,Concursado,920.001.998-60,Belo Horizonte, Lamego,31
António Lustosa,Juiz,Concursado,527.311.751-84,Belém, Lustosa,15
António Mata,Juiz,Concursado,508.540.999-05,João Pessoa, Mata,25
António Parahyba,Juiz,Concursado,048.217.737-32,Curitiba, Parahyba,41
António Portugal,Juiz,Concursado,826.138.948-06,Recife, Portugal,26
Antônia Camacho,Juiz,Concursado,228.789.242-74,Teresina, Camacho,22
Antônia Castellano,Juiz,Concursado,856.856.229-96,Rio de Janeiro, Castellano,33
Antônia Castellano,Juiz,Concursado,342.719.625-97,Natal, Castellano,24
Antônia Castilhos,Juiz,Concursado,931.530.182-00,Porto Alegre, Castilhos,43
Antônia Colares,Juiz,Concursado,691.209.810-07,Porto Velho, Colares,11
Antônia Dantas,Juiz,Concursado,609.252.408-26,Boa Vista, Dantas,14
Antônia Lessa,Juiz,Concursado,253.149.648-30,Florianópolis, Lessa,42
Antônia Magalhães,Juiz,Concursado,583.059.516-85,São Paulo, Magalhães,35
Antônia Mendoza,Juiz,Concursado,068.293.285-00,Aracaju, Mendoza,28
Antônia Monsanto,Juiz,Concursado,905.013.867-50,Palmas, Monsanto,41
Antônia Monte,Juiz,Concursado,418.070.579-68,Rio Branco, Monte,12
Antônia Prado,Juiz,Concursado,286.845.459-31,Maceió, Prado,27
Antônia Proença,Juiz,Concursado,596.995.582-53,Macapá, Proença,16
Antônia Saloio,Juiz,Concursado,246.907.049-02,Manaus, Saloio,13
Antônia Vidigal,Juiz,Concursado,389.571.691-05,Salvador, Vidigal,29
Antônia Vilarim,Juiz,Concursado,746.586.775-47,Fortaleza, Vilarim,23
Antônio Assunção,Juiz,Concursado,403.220.547-70,Brasília, Assunção,53
Antônio Becerril,Juiz,Concursado,495.520.322-10,Vitória, Becerril,32
Antônio Canejo,Juiz,Concursado,130.612.127-28,Goiânia, Canejo,52
Antônio Carvalheiro,Juiz,Concursado,093.540.706-55,São Luís, Carvalheiro,21
Antônio Câmara,Juiz,Concursado,283.986.534-34,Cuiabá, Câmara,51
Antônio Freyre,Juiz,Concursado,135.083.789-00,Campo Grande, Freyre,50
Antônio Linares,Juiz,Concursado,816.279.829-30,Belo Horizonte, Linares,31
Antônio Moreyra,Juiz,Concursado,790.569.308-26,Belém, Moreyra,15
Antônio Méndez,Juiz,Concursado,103.910.476-20,João Pessoa, Méndez,25
Antônio Paião,Juiz,Concursado,030.097.193-10,Curitiba, Paião,41
Antônio Portugal,Juiz,Concursado,862.790.141-42,Recife, Portugal,26
Antônio Ramires,Juiz,Concursado,797.499.411-87,Teresina, Ramires,22
Antônio Setúbal,Juiz,Concursado,953.298.873-48,Rio de Janeiro, Setúbal,33
Antônio Valle,Juiz,Concursado,353.285.943-20,Natal, Valle,24
Antônio Varela,Juiz,Concursado,931.898.037-06,Porto Alegre, Varela,43
Aníbal Alcântara,Juiz,Concursado,563.080.736-60,Porto Velho, Alcântara,11
Aníbal Barcelos,Juiz,Concursado,416.901.702-12,Boa Vista, Barcelos,14
Aníbal Becerril,Juiz,Concursado,829.274.785-03,Florianópolis, Becerril,42
Aníbal Bento,Juiz,Concursado,140.631.349-11,São Paulo, Bento,35
Aníbal Bogado,Juiz,Concursado,124.035.889-03,Aracaju, Bogado,28
Aníbal Cambezes,Juiz,Concursado,942.426.060-10,Palmas, Cambezes,41
Aníbal Carrillo,Juiz,Concursado,219.443.276-06,Rio Branco, Carrillo,12
Aníbal Macieira,Juiz,Concursado,285.305.765-86,Maceió, Macieira,27
Aníbal Mainha,Juiz,Concursado,156.620.480-10,Macapá, Mainha,16
Aníbal Mascareñas,Juiz,Concursado,114.099.358-50,Manaus, Mascareñas,13
Aníbal Pitanga,Juiz,Concursado,892.444.602-97,Salvador, Pitanga,29
Aníbal Quadros,Juiz,Concursado,117.882.297-46,Fortaleza, Quadros,23
Aníbal Quiroga,Juiz,Concursado,124.192.921-11,Brasília, Quiroga,53
Aníbal Rico,Juiz,Concursado,095.025.335-93,Vitória, Rico,32
Aníbal Sabrosa,Juiz,Concursado,900.659.917-45,Goiânia, Sabrosa,52
Apoena Almada,Juiz,Concursado,662.730.330-21,São Luís, Almada,21
Apoena Arruda,Juiz,Concursado,779.681.218-33,Cuiabá, Arruda,51
Apoena Candal,Juiz,Concursado,746.986.382-67,Campo Grande, Candal,50
Apoena Castelão,Juiz,Concursado,719.883.443-44,Belo Horizonte, Castelão,31
Apoena Cerqueira,Juiz,Concursado,258.848.025-01,Belém, Cerqueira,15
Apoena Damásio,Juiz,Concursado,647.809.711-01,João Pessoa, Damásio,25
Apoena Dinis,Juiz,Concursado,801.248.671-70,Curitiba, Dinis,41
Apoena Ferraço,Juiz,Concursado,633.470.909-77,Recife, Ferraço,26
Apoena Garcia,Juiz,Concursado,576.467.015-21,Teresina, Garcia,22
Apoena Lustosa,Juiz,Concursado,174.961.830-32,Rio de Janeiro, Lustosa,33
Apoena Negrão,Juiz,Concursado,881.620.624-16,Natal, Negrão,24
Apoena Silveira dos Açores,Juiz,Concursado,977.768.394-42,Porto Alegre, Açores,43
Apoena Sucupira,Juiz,Concursado,991.504.552-22,Porto Velho, Sucupira,11
Apoena VilaChã,Juiz,Concursado,883.770.825-43,Boa Vista, VilaChã,14
Apoena Villar,Juiz,Concursado,754.049.307-05,Florianópolis, Villar,42
Apuã Acatauaçu,Juiz,Concursado,887.076.821-07,São Paulo, Acatauaçu,35
Apuã Alcantara,Juiz,Concursado,708.596.315-83,Aracaju, Alcantara,28
Apuã Brandán,Juiz,Concursado,149.542.642-43,Palmas, Brandán,41
Apuã Cambezes,Juiz,Concursado,712.642.012-90,Rio Branco, Cambezes,12
Apuã Collaço,Juiz,Concursado,039.856.750-66,Maceió, Collaço,27
Apuã Curado,Juiz,Concursado,394.241.699-90,Macapá, Curado,16
Apuã Dorneles,Juiz,Concursado,117.866.163-60,Manaus, Dorneles,13
Apuã Guarabira,Juiz,Concursado,949.149.779-07,Salvador, Guarabira,29
Apuã Paredes,Juiz,Concursado,972.180.105-47,Fortaleza, Paredes,23
Apuã Paredes,Juiz,Concursado,630.530.363-04,Brasília, Paredes,53
Apuã Parente,Juiz,Concursado,504.795.082-40,Vitória, Parente,32
Arachane Corrêa,Juiz,Concursado,816.882.206-40,Goiânia, Corrêa,52
Arachane Custódio,Juiz,Concursado,296.955.566-20,São Luís, Custódio,21
Arachane Domingues,Juiz,Concursado,417.913.021-14,Cuiabá, Domingues,51
Arachane Fitas,Juiz,Concursado,378.396.113-03,Campo Grande, Fitas,50
Arachane Galván,Juiz,Concursado,533.864.069-47,Belo Horizonte, Galván,31
Arachane Guarabira,Juiz,Concursado,543.279.389-04,Belém, Guarabira,15
Arachane Inácio,Juiz,Concursado,721.912.783-96,João Pessoa, Inácio,25
Arachane Mariz,Juiz,Concursado,474.394.404-04,Curitiba, Mariz,41
Arachane Pestana,Juiz,Concursado,057.580.742-33,Recife, Pestana,26
Araci Alves,Juiz,Concursado,430.401.359-96,Teresina, Alves,22
Araci Bonilla,Juiz,Concursado,365.828.100-65,Rio de Janeiro, Bonilla,33
Araci Calheiros,Juiz,Concursado,829.822.444-20,Natal, Calheiros,24
Araci Dias,Juiz,Concursado,923.724.777-06,Porto Alegre, Dias,43
Araci Faria,Juiz,Concursado,488.819.460-25,Porto Velho, Faria,11
Araci Figueiredo,Juiz,Concursado,856.875.768-51,Boa Vista, Figueiredo,14
Araci Freyre,Juiz,Concursado,443.968.969-80,Florianópolis, Freyre,42
Araci Grangeia,Juiz,Concursado,167.908.959-57,São Paulo, Grangeia,35
Araci Lancastre,Juiz,Concursado,110.257.395-74,Aracaju, Lancastre,28
Araci Ribas,Juiz,Concursado,966.285.135-64,Palmas, Ribas,41
Araci Ríos,Juiz,Concursado,558.636.002-09,Rio Branco, Ríos,12
Araci Themes,Juiz,Concursado,998.751.021-30,Maceió, Themes,27
Araci Valiente,Juiz,Concursado,618.082.898-97,Macapá, Valiente,16
Araci Vaz,Juiz,Concursado,972.488.495-37,Manaus, Vaz,13
Araribóia Campello,Juiz,Concursado,279.687.442-70,Salvador, Campello,29
Araribóia Estrela,Juiz,Concursado,343.877.860-27,Fortaleza, Estrela,23
Araribóia Jardim,Juiz,Concursado,966.903.465-52,Brasília, Jardim,53
Araribóia Lisboa,Juiz,Concursado,837.710.654-02,Vitória, Lisboa,32
Araribóia Moreno,Juiz,Concursado,153.963.546-58,Goiânia, Moreno,52
Araribóia Pedroso,Juiz,Concursado,407.909.223-71,São Luís, Pedroso,21
Arcidres Alvarenga,Juiz,Concursado,124.456.017-03,Cuiabá, Alvarenga,51
Arcidres Amorín,Juiz,Concursado,268.775.899-04,Campo Grande, Amorín,50
Arcidres Candal,Juiz,Concursado,195.158.249-74,Belo Horizonte, Candal,31
Arcidres Caneira,Juiz,Concursado,621.479.484-46,Belém, Caneira,15
Arcidres Ferreyra,Juiz,Concursado,978.469.188-42,João Pessoa, Ferreyra,25
Arcidres Festas,Juiz,Concursado,751.313.410-35,Curitiba, Festas,41
Arcidres Gorjão,Juiz,Concursado,736.957.492-02,Recife, Gorjão,26
Arcidres Parahyba,Juiz,Concursado,485.090.825-02,Teresina, Parahyba,22
Arcidres Peixoto,Juiz,Concursado,231.019.687-80,Rio de Janeiro, Peixoto,33
Arcidres Rabello,Juiz,Concursado,065.073.375-44,Natal, Rabello,24
Arcidres Rodríguez,Juiz,Concursado,981.466.389-10,Porto Alegre, Rodríguez,43
Armanda Caldera,Juiz,Concursado,587.841.199-77,Porto Velho, Caldera,11
Armanda Calheiros,Juiz,Concursado,463.570.700-84,Boa Vista, Calheiros,14
Armanda Carvalhais,Juiz,Concursado,884.996.826-42,Florianópolis, Carvalhais,42
Armanda Ferrón,Juiz,Concursado,036.466.289-10,São Paulo, Ferrón,35
Armanda Guará,Juiz,Concursado,528.902.554-50,Aracaju, Guará,28
Armanda Pavía,Juiz,Concursado,565.049.332-43,Palmas, Pavía,41
Armanda Ribas,Juiz,Concursado,816.504.075-80,Rio Branco, Ribas,12
Armanda Rufino,Juiz,Concursado,957.379.025-44,Maceió, Rufino,27
Armanda Souto Maior,Juiz,Concursado,833.803.439-86,Macapá, Maior,16
Armanda Temes,Juiz,Concursado,042.243.708-59,Manaus, Temes,13
Armando Canedo,Juiz,Concursado,680.306.347-06,Salvador, Canedo,29
Armando Cotrim,Juiz,Concursado,968.851.473-03,Fortaleza, Cotrim,23
Armando Figueiró,Juiz,Concursado,561.567.035-51,Brasília, Figueiró,53
Armando Inês,Juiz,Concursado,019.580.676-01,Vitória, Inês,32
Armando Marques,Juiz,Concursado,916.719.120-71,Goiânia, Marques,52
Armando Milheirão,Juiz,Concursado,464.719.452-30,São Luís, Milheirão,21
Armando Moreno,Juiz,Concursado,645.859.236-16,Cuiabá, Moreno,51
Armando Pais,Juiz,Concursado,745.701.649-00,Campo Grande, Pais,50
Armando Paião,Juiz,Concursado,539.771.399-67,Belo Horizonte, Paião,31
Arminda Borba,Juiz,Concursado,865.038.151-07,Belém, Borba,15
Arminda Cascais,Juiz,Concursado,546.457.504-96,João Pessoa, Cascais,25
Arminda Cervera,Juiz,Concursado,272.975.730-94,Curitiba, Cervera,41
Arminda Cordeiro,Juiz,Concursado,679.783.011-76,Recife, Cordeiro,26
Arminda Cortez,Juiz,Concursado,434.153.779-20,Teresina, Cortez,22
Arminda Felipe,Juiz,Concursado,264.249.268-01,Rio de Janeiro, Felipe,33
Arminda Ferrão,Juiz,Concursado,544.520.303-43,Natal, Ferrão,24
Arminda Higuera,Juiz,Concursado,224.691.956-83,Porto Alegre, Higuera,43
